average-3,average-5,gaussian-3,gaussian-5
0.091859058,0.108969781,0.087582851,0.097648079
0.125638551,0.144067622,0.121438062,0.132530773
0.092774596,0.097666228,0.089241586,0.092903463
0.116260986,0.108152713,0.114666646,0.107678161
0.097823632,0.106819772,0.093405059,0.099973697
0.097949219,0.118876975,0.092698168,0.104364689
0.067801701,0.070632317,0.064869845,0.06642861
0.112914546,0.123870565,0.111290819,0.118158122
0.127593872,0.128161064,0.123572195,0.129146883
0.097629122,0.101375552,0.096339973,0.09562445
0.145646052,0.162033425,0.13819867,0.153905273
0.1056561,0.110147909,0.104773807,0.107089941
0.103462922,0.112315916,0.10106639,0.105828289
0.096034473,0.106808195,0.092456742,0.099973355
0.202487464,0.205000007,0.192249604,0.201504261
0.160995775,0.166460265,0.155873392,0.164945311
0.090706573,0.104761934,0.086773924,0.098368691
0.094644888,0.115290515,0.091369757,0.106674805
0.118022185,0.129155155,0.113473965,0.124673147
0.105988608,0.109295261,0.10357241,0.105952694
0.181048484,0.237307008,0.166895874,0.197596635
0.066735932,0.084370908,0.061055613,0.071321247
0.095042105,0.119571017,0.088520399,0.103518341
0.065787153,0.081961952,0.062260945,0.071107532
0.109261287,0.122209002,0.103198394,0.112500046
0.108924917,0.125821627,0.103804417,0.116409643
0.110995511,0.120209101,0.108441221,0.113223003
0.196034243,0.214016095,0.188840872,0.200516415
0.114879316,0.133101831,0.107236317,0.117381508
0.090560624,0.098375407,0.088730779,0.093099349
0.141169702,0.151246527,0.140986428,0.145636348
0.121496342,0.138817038,0.117260224,0.126078117
0.098780784,0.103557246,0.096897456,0.102514556
0.086430619,0.09886987,0.083328168,0.089821025
0.129946688,0.135263903,0.126838648,0.137164199
0.083562368,0.107901979,0.07664553,0.092405656
0.069287922,0.08286297,0.064130139,0.074408773
0.10172658,0.10890671,0.097740966,0.100724973
0.203669662,0.196829036,0.204392071,0.198618204
0.166504731,0.150169559,0.166927366,0.163463817
0.137501696,0.128305043,0.136034463,0.133341772
0.123894624,0.114647026,0.12644253,0.117818884
0.125807177,0.117097345,0.128502989,0.12708203
0.161786875,0.159312106,0.163968543,0.160412887
0.140001013,0.127064466,0.137418009,0.132335843
0.088201397,0.0923408,0.084565808,0.08970096
0.234326632,0.232579237,0.228239343,0.235881207
0.119835135,0.119814312,0.11834599,0.121026232
0.108673632,0.102956875,0.106403533,0.109450377
0.119471127,0.11190982,0.117150402,0.115103644
0.209353124,0.204657635,0.206441546,0.20497335
0.214373427,0.210717304,0.206960344,0.214550758
0.226385281,0.236538449,0.220107022,0.231271152
0.212927886,0.193332295,0.217815937,0.208593705
0.109256766,0.108230932,0.107506131,0.10809388
0.140316749,0.13818502,0.137994656,0.140890601
0.134966353,0.121596245,0.13556692,0.131954149
0.187842923,0.151040157,0.189909211,0.171988943
0.133758699,0.125453517,0.131775308,0.128123353
0.15779202,0.152292942,0.149777712,0.160426171
0.111269981,0.126170813,0.104404521,0.117968621
0.124458884,0.113955667,0.124576024,0.123963592
0.18102282,0.185680037,0.175862029,0.184389856
0.138669839,0.143925193,0.134367996,0.140980936
0.134882754,0.133301107,0.132926047,0.134893855
0.105896535,0.110965254,0.106566246,0.108813403
0.156127214,0.170331307,0.152974966,0.158735158
0.098612167,0.122181149,0.092284607,0.107427203
0.091882215,0.093938946,0.090539762,0.092644732
0.163114229,0.1803631,0.157743801,0.16880666
0.220668057,0.222133383,0.223184084,0.222437954
0.216806676,0.195239916,0.217142498,0.20594539
0.204277151,0.1604518,0.213544729,0.186032646
0.185868861,0.16049896,0.186021386,0.174836058
0.105856566,0.124122234,0.100105554,0.112558792
0.181365354,0.186767121,0.182286213,0.184593558
0.178882267,0.172429703,0.173297029,0.171962418
0.073811398,0.082576353,0.072457914,0.075391725
0.11136142,0.12495115,0.10784007,0.116080658
0.087684125,0.085380363,0.087844901,0.082694655
0.152726767,0.108309193,0.161763882,0.139440752
0.094373842,0.098696001,0.091913378,0.095966808
0.111970445,0.120036112,0.107371569,0.113414668
0.064535816,0.085352071,0.059641136,0.071300816
0.063116003,0.08097549,0.058262905,0.068882627
0.067583301,0.090527976,0.061553157,0.076587407
0.079721939,0.090418279,0.07534412,0.079468996
0.076735986,0.087737016,0.07111633,0.080500136
0.093420774,0.111576681,0.089412445,0.101150341
0.133755108,0.135824529,0.125964851,0.135832971
0.09032944,0.117289064,0.082603685,0.104964289
0.128006178,0.155094459,0.118095459,0.137386463
0.093860817,0.104852316,0.088193267,0.095944276
0.077952622,0.083151453,0.075179969,0.077527407
0.062958069,0.08229487,0.058464561,0.069746983
0.05798479,0.071818857,0.055510281,0.063071754
0.076362122,0.089806842,0.072126431,0.081297235
0.102902421,0.121792956,0.097235124,0.111431915
0.086139703,0.108957237,0.079803583,0.092747849
0.102719252,0.115470693,0.095823015,0.10801036
0.149064386,0.176161802,0.137679044,0.161051016
0.107487488,0.101930075,0.104882375,0.107116878
0.168309571,0.211060052,0.158384803,0.185402178
0.15789122,0.186791244,0.148178652,0.16602436
0.156439387,0.173167643,0.148030712,0.158542753
0.127952323,0.138623344,0.124094786,0.135032638
0.114853035,0.125059442,0.110071752,0.118327827
0.145692659,0.160276216,0.138683516,0.151818088
0.14942216,0.157866671,0.13997286,0.152225918
0.116995842,0.123695582,0.113490996,0.119805299
0.119996382,0.159916052,0.112261776,0.131619788
0.147763956,0.169368005,0.137165184,0.159447508
0.118250641,0.130504751,0.114353148,0.126117463
0.166386743,0.169056017,0.157411617,0.162667934
0.153707629,0.163595888,0.147641865,0.155206065
0.145219353,0.167733322,0.13882621,0.148559089
0.150790569,0.173416341,0.143109656,0.159576205
0.096164303,0.114385178,0.091026312,0.104240274
0.149568851,0.169690178,0.141233126,0.157753223
0.092526882,0.104410926,0.089501986,0.100204763
0.182569491,0.204931635,0.171717596,0.189368381
0.171511891,0.184523815,0.162902299,0.176997973
0.165582305,0.175757855,0.1575492,0.170147074
0.186631925,0.211710858,0.175241893,0.197083886
0.1889338,0.200818481,0.180155438,0.198733103
0.131521883,0.128105292,0.128782844,0.133116107
0.156518172,0.164939687,0.14979645,0.161503786
0.155079883,0.162255083,0.144149669,0.162723886
0.138286596,0.159594035,0.135229515,0.153957797
0.12411189,0.150213606,0.115909202,0.133810503
0.142584849,0.180961523,0.133683468,0.157781939
0.081757711,0.10415384,0.075559225,0.08965927
0.076682649,0.091212417,0.071706661,0.078848062
0.074902425,0.09506294,0.069624615,0.080438401
0.085425408,0.105015165,0.077991211,0.094303752
0.105499142,0.117534744,0.09712203,0.105959997
0.117843303,0.14108698,0.108394367,0.127980779
0.111387542,0.132836018,0.105012438,0.121110225
0.095999088,0.109011064,0.090960637,0.100041475
0.11679637,0.122036712,0.112181421,0.113712573
0.094533545,0.117219249,0.087766728,0.10065443
0.071365658,0.090480945,0.066169942,0.07933379
0.116560951,0.134222379,0.10894768,0.126527506
