jpeg-55,jpeg-75,jpeg-95
0.061125372,0.05382905,0.049855489
0.081550763,0.068895227,0.060562661
0.063774089,0.058478637,0.057244265
0.069315111,0.056395698,0.058455969
0.060495184,0.051086896,0.049814767
0.058234995,0.049162672,0.047793101
0.047589724,0.046269503,0.049311674
0.073033358,0.064921233,0.060916371
0.078017677,0.070577765,0.066280365
0.060575758,0.05334162,0.052600579
0.10076878,0.090542044,0.081949461
0.054456298,0.050423395,0.051363982
0.066960052,0.062136751,0.060377083
0.054131429,0.049111121,0.05048311
0.140530913,0.128423753,0.113153552
0.111516651,0.098694814,0.089707577
0.05297681,0.048399765,0.047342699
0.052117315,0.047216985,0.045384843
0.076058957,0.068796928,0.064506755
0.07550115,0.066255194,0.062578167
0.112775643,0.09650332,0.084723324
0.033149305,0.029409643,0.031281921
0.054258477,0.048448144,0.047383401
0.034310019,0.031508873,0.032782718
0.061069557,0.056979439,0.052169513
0.062648912,0.056722144,0.055061987
0.073166346,0.064365597,0.060878321
0.121909258,0.106073,0.096001561
0.06806914,0.061323737,0.061477624
0.052472599,0.046740329,0.048425281
0.09885695,0.086356986,0.082612528
0.075499058,0.06882742,0.067062873
0.063555953,0.057877524,0.058786006
0.045644504,0.042057341,0.043270925
0.090285626,0.07447401,0.067351638
0.044777532,0.04073085,0.040863743
0.038368669,0.034995014,0.037381487
0.06718983,0.066067721,0.065360989
0.166862615,0.147040748,0.134069256
0.143310308,0.133342624,0.119065456
0.10773937,0.103027852,0.099309333
0.084135584,0.0811866,0.088507423
0.080438861,0.074354153,0.07769863
0.137637411,0.129881605,0.121965835
0.097360372,0.094067376,0.093453538
0.065015024,0.061886284,0.058463473
0.227595832,0.207071454,0.16969572
0.091490169,0.087868806,0.0851764
0.098623335,0.091727261,0.087289794
0.084465707,0.080022431,0.073696488
0.182956123,0.169738482,0.151629375
0.183274832,0.159373441,0.130376739
0.200809032,0.172495743,0.139281609
0.177326169,0.164440876,0.158057741
0.081888452,0.080602377,0.080543442
0.12111157,0.112501652,0.099323095
0.109805864,0.104913515,0.104879871
0.145438825,0.137847319,0.141527116
0.091975575,0.08929048,0.092325946
0.108938914,0.099370006,0.088440913
0.080614962,0.075172196,0.06717683
0.085444451,0.078928828,0.080156309
0.131825944,0.120867918,0.107310613
0.088764045,0.084372123,0.077572822
0.106045183,0.102266648,0.096124102
0.097235662,0.094567263,0.091013163
0.10234432,0.092068963,0.089071177
0.056350976,0.052500804,0.051503193
0.067115901,0.06695474,0.069607127
0.107181783,0.093233339,0.086528399
0.158706516,0.144430646,0.135575133
0.147720209,0.136568477,0.138882254
0.133200935,0.124802176,0.124922108
0.143498685,0.138086361,0.138940476
0.067089153,0.060398579,0.05971177
0.160297463,0.13929909,0.125947244
0.117471187,0.10548923,0.100818772
0.034705552,0.031754612,0.037084456
0.06584727,0.059453154,0.058571018
0.053324397,0.042210789,0.045116263
0.108628395,0.107132255,0.119166679
0.058601689,0.055793825,0.057486246
0.075804869,0.069618993,0.066477985
0.033480701,0.031315755,0.032667024
0.035316427,0.033297676,0.032971297
0.032884783,0.030428527,0.031034524
0.05429743,0.048025213,0.045490449
0.046269905,0.042497384,0.041648861
0.054175555,0.050686198,0.049065848
0.074376051,0.067035637,0.062899256
0.043334747,0.038127925,0.036881004
0.075914465,0.068858808,0.060152182
0.048792812,0.045384141,0.046315523
0.051358665,0.049056369,0.048397496
0.034250748,0.03172633,0.031908848
0.036804114,0.034795559,0.035836127
0.042046607,0.039547075,0.040545689
0.055015955,0.051434413,0.047984418
0.044604457,0.041409622,0.041111643
0.05679194,0.049240237,0.046703417
0.085464619,0.070903172,0.061001674
0.082740261,0.075274484,0.067556148
0.099693947,0.083507809,0.068656913
0.091517326,0.079173939,0.064953556
0.093938136,0.081298036,0.072848321
0.085105992,0.073405837,0.066121072
0.073014939,0.064791446,0.0602581
0.09284696,0.079682946,0.070159896
0.101087553,0.085574525,0.073429397
0.078655827,0.070559881,0.059887844
0.071651611,0.060884024,0.054159523
0.088362283,0.0774409,0.066750289
0.066986629,0.060744874,0.055768479
0.109006936,0.098126047,0.083582347
0.092391206,0.080462124,0.070335793
0.092518811,0.084337738,0.073408263
0.092927006,0.080805265,0.070692625
0.058010978,0.052525431,0.047219731
0.093640749,0.076805034,0.06833162
0.056452043,0.049269914,0.044679271
0.124029056,0.104866775,0.085067657
0.10343168,0.089965229,0.079452586
0.101063485,0.091778725,0.081527496
0.11362601,0.094482383,0.08019979
0.129773096,0.107562884,0.091039569
0.110478318,0.095623149,0.085190902
0.131896673,0.111862702,0.092252953
0.085662143,0.074119825,0.060363198
0.090563896,0.074532527,0.060503917
0.076339801,0.066220713,0.059741442
0.09242911,0.080099306,0.065349264
0.053663495,0.046629694,0.040927133
0.052461166,0.046258194,0.041567275
0.042260051,0.038614866,0.04028191
0.04842016,0.04341746,0.039734655
0.071165611,0.058976381,0.053885707
0.067690446,0.05792915,0.051491013
0.075099217,0.065815924,0.055487081
0.061862491,0.055814087,0.049416807
0.086349199,0.075486542,0.06390036
0.055603361,0.048606238,0.046504761
0.040045933,0.038338403,0.038124837
0.068485368,0.060199396,0.053562031
0.0900879,0.079328368,0.06613815
0.112823462,0.090295492,0.072943089
0.216202113,0.188961552,0.153780806
0.107008089,0.086424936,0.073803583
0.082151695,0.068735046,0.058601299
0.079823508,0.072773527,0.069239093
0.081285466,0.072072607,0.066345077
0.066526537,0.059162154,0.053289814
0.076580971,0.066472187,0.057178394
0.074265754,0.067743401,0.058991979
0.082534508,0.073596593,0.064733175
0.08305324,0.072845301,0.06054734
0.07960889,0.070203524,0.06097651
0.067950741,0.05984832,0.052954876
0.064281806,0.056705812,0.049918432
0.074019209,0.060695727,0.053965988
0.051846975,0.048286029,0.045915836
0.042229415,0.037346301,0.037269502
0.056629379,0.050296646,0.046714876
0.057667619,0.053194126,0.048365778
0.052354721,0.047446298,0.04488978
0.05797649,0.051380858,0.045660932
0.052430763,0.046620961,0.042480263
0.104871536,0.089519772,0.075719115
0.084172937,0.074634602,0.067328563
0.089269214,0.078700297,0.070980952
0.101087229,0.088003098,0.072056801
0.090318693,0.075806504,0.067745876
0.112016642,0.094606264,0.076713263
0.098711659,0.085920394,0.075477492
0.050583626,0.046254547,0.044304262
0.07338151,0.059948444,0.051164028
0.111392139,0.100816988,0.092071787
0.076369596,0.067262365,0.060181825
0.05174327,0.046969817,0.046853038
0.047811403,0.043252391,0.041612773
0.107157242,0.093385777,0.07918592
0.098480094,0.086495457,0.072047344
0.076153557,0.066633783,0.060583788
0.0749065,0.065423969,0.056302543
0.062432473,0.0567972,0.052120765
0.123659259,0.0996056,0.079575403
0.114882185,0.096533895,0.08116874
0.078644543,0.070918125,0.060374844
0.052901072,0.047354222,0.044940339
0.056919995,0.052618972,0.049708051
0.064487569,0.06020129,0.056141128
0.066822248,0.062905376,0.057815482
0.083049874,0.071136595,0.060442024
0.103627376,0.094036755,0.084144651
0.040934642,0.037084677,0.037453606
0.047255235,0.042851732,0.039780034
0.063086254,0.056473742,0.049746007
0.050595538,0.045974649,0.043086442
0.040405984,0.03841701,0.038451674
0.035970611,0.032866819,0.033727982
0.028319661,0.024813514,0.024660528
0.038585593,0.033294585,0.031257282
0.099414109,0.083160307,0.06950077
0.062914475,0.056617014,0.04964866
0.053229665,0.048689772,0.044893553
0.060915221,0.053983168,0.049606243
0.08107255,0.080000372,0.081710901
0.081034773,0.078755728,0.082489881
