median-3,median-5,median-7,median-9
0.307052004,0.288448304,0.273894578,0.251887548
0.338538919,0.3247213,0.311596535,0.302741195
0.271375189,0.275407464,0.262895037,0.250269231
0.323818242,0.306542504,0.281896047,0.251253552
0.302267541,0.293226487,0.275040854,0.254244284
0.324427074,0.307920742,0.280293693,0.264565356
0.229102298,0.22487158,0.207469991,0.189071902
0.319488975,0.310775693,0.296940012,0.293244913
0.321022232,0.30685766,0.273667065,0.249107852
0.306431454,0.287966726,0.268205412,0.247065747
0.33870674,0.332155866,0.320901989,0.307490102
0.320384039,0.285648849,0.23907139,0.215253863
0.306275739,0.295671701,0.281050884,0.265278231
0.306398781,0.294047553,0.279252578,0.265861253
0.402219781,0.378412028,0.377382224,0.370569638
0.363720727,0.368544305,0.36514778,0.350004722
0.301264977,0.29313193,0.270247001,0.245904396
0.301651087,0.284995337,0.270682917,0.249591155
0.317029047,0.313474643,0.299489454,0.28363322
0.310861467,0.300893341,0.274752996,0.244888227
0.39657411,0.393959036,0.383800928,0.37485502
0.282162825,0.258691931,0.229698083,0.206563392
0.30013802,0.292472427,0.26099656,0.236215214
0.279439639,0.25108319,0.223899692,0.198988591
0.301138084,0.287076838,0.277134804,0.265849794
0.306395377,0.293939791,0.273233459,0.25191128
0.319290235,0.305097574,0.283711004,0.26824089
0.409118934,0.393393541,0.38674179,0.367450035
0.319789194,0.328081295,0.318350012,0.291100611
0.309365313,0.290197508,0.265290566,0.240546433
0.35969774,0.374805964,0.357328034,0.316047961
0.327840474,0.328176074,0.312215531,0.288730017
0.291773234,0.273956407,0.245763728,0.233096688
0.29593534,0.279308849,0.25788011,0.2416299
0.335268512,0.333145736,0.316163419,0.282419495
0.288742602,0.275726465,0.253759184,0.240713916
0.276485251,0.256671107,0.228849002,0.208100811
0.301126219,0.299899879,0.27717369,0.250874401
0.372811266,0.409676049,0.401559434,0.389816529
0.312062279,0.336261672,0.329803907,0.315723899
0.301243351,0.311605563,0.289931529,0.275452377
0.288013583,0.287663935,0.270037578,0.255502044
0.328306012,0.338674357,0.333218159,0.313888956
0.320327707,0.354599573,0.360823754,0.33710272
0.316023635,0.32398284,0.31231375,0.295845696
0.243036853,0.240821006,0.224060497,0.20726201
0.338643474,0.368891267,0.37901226,0.369708519
0.270523633,0.277822943,0.267735733,0.252416066
0.241310322,0.229779212,0.21460745,0.207654868
0.294819076,0.293070373,0.285685746,0.264767664
0.341173328,0.365010507,0.360005715,0.350428804
0.395846316,0.400834018,0.390655801,0.376439587
0.387290682,0.406303683,0.410669536,0.394638293
0.386061219,0.407187424,0.418494573,0.427310752
0.258006031,0.265915449,0.251356569,0.240925471
0.294696716,0.305583063,0.294263772,0.277051222
0.297182481,0.305873433,0.301183264,0.285338669
0.325899963,0.346470828,0.343516066,0.328643924
0.296662791,0.298436737,0.286484929,0.266689506
0.331332715,0.332349224,0.320949475,0.322584188
0.286373121,0.278825327,0.261506544,0.250774104
0.303024734,0.309617173,0.291722568,0.274005657
0.348809758,0.354266546,0.341259952,0.327452398
0.313245896,0.305270825,0.287125947,0.277208601
0.284070621,0.295266568,0.278235223,0.260997899
0.226184121,0.237906543,0.236293537,0.226039753
0.367516067,0.36264274,0.349946355,0.334362446
0.30559643,0.30643287,0.300547455,0.292107472
0.22931245,0.229173349,0.21713236,0.202434603
0.353891858,0.356492758,0.348419293,0.331594946
0.423506141,0.449162839,0.443706899,0.432582639
0.415771275,0.438211972,0.43761353,0.415495531
0.419814028,0.422569693,0.407950824,0.375223811
0.363589732,0.359177955,0.347932146,0.335248024
0.32715227,0.318674159,0.30425269,0.28140375
0.416886789,0.389913546,0.387494933,0.375726289
0.378498616,0.371259698,0.35646954,0.336213411
0.301440002,0.283608019,0.252857784,0.226936411
0.331671419,0.31538971,0.303338149,0.283337986
0.317747018,0.293422955,0.254767626,0.222740029
0.340749816,0.346379958,0.33383361,0.308395269
0.292923582,0.275789675,0.254588427,0.231760189
0.285893987,0.291195071,0.275894554,0.256762784
0.272410221,0.258900317,0.229916793,0.208909807
0.282451934,0.256413823,0.228848693,0.201753594
0.282954392,0.262003113,0.242286954,0.219849505
0.294873378,0.270957762,0.242931469,0.209327999
0.283821757,0.260573322,0.236747046,0.21506431
0.297916026,0.293537468,0.269568601,0.240322384
0.324416778,0.313477454,0.296373453,0.27192149
0.323711944,0.299314469,0.276212399,0.258871086
0.353624715,0.35220798,0.331319997,0.325514916
0.300544846,0.283700875,0.257344733,0.235879194
0.255648732,0.244434793,0.225528168,0.206739647
0.265688408,0.252221511,0.227541206,0.207167538
0.246422306,0.234826369,0.216811237,0.199068777
0.281737899,0.26413184,0.245914629,0.231722054
0.31399257,0.311606211,0.295432308,0.28030666
0.32508636,0.286744328,0.265623983,0.243194833
0.32201525,0.307448566,0.292106563,0.267971521
0.3369553,0.332820107,0.335290918,0.32761883
0.244103322,0.234738894,0.221350639,0.205243317
0.365576012,0.398480154,0.389512405,0.374583508
0.371895986,0.383396556,0.373687198,0.358651979
0.369797168,0.380019147,0.360868374,0.331336358
0.326769173,0.320003144,0.294584189,0.276537665
0.320609058,0.31731838,0.301990119,0.285538298
0.337082117,0.341999501,0.329974932,0.305429671
0.364711046,0.359636558,0.36500154,0.347040776
0.317921869,0.322981191,0.313003922,0.299764473
0.352786618,0.381405577,0.439994684,0.342118947
0.354914155,0.349331255,0.327161993,0.310574366
0.319170713,0.316667923,0.302518556,0.277772977
0.364028361,0.370389662,0.368288366,0.35974445
0.365617604,0.35950414,0.343383651,0.327163865
0.358209736,0.358944877,0.349450766,0.338925833
0.362232248,0.356666982,0.346025393,0.324755399
0.302621173,0.291070318,0.266439757,0.24585884
0.343245775,0.359312911,0.367903515,0.376794497
0.300742475,0.285936577,0.261225638,0.232751518
0.360206453,0.39172517,0.392151634,0.368638803
0.349926974,0.349378726,0.32162489,0.316978902
0.350403893,0.347362625,0.335288034,0.348758392
0.369745015,0.38067209,0.378501322,0.369557741
